eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150664956,,,,LEARNING-AUGMENTED DATA STREAM ALGORITHMS,cp,Conference Paper,Jiang T.,,Lehigh University,Bethlehem,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150664647,,,,MACER: ATTACK-FREE AND SCALABLE ROBUST TRAINING VIA MAXIMIZING CERTIFIED RADIUS,cp,Conference Paper,Zhai R.,,Peking University,Beijing,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,21,0,,,,,
2-s2.0-85150664519,,,,ES-MAML: SIMPLE HESSIAN-FREE META LEARNING,cp,Conference Paper,Song X.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,13,0,,,,,
2-s2.0-85150664312,,,,RESIDUAL ENERGY-BASED MODELS FOR TEXT GENERATION,cp,Conference Paper,Deng Y.,,Harvard University,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,32,0,,,,,
2-s2.0-85150664272,,,,EVOLUTIONARY POPULATION CURRICULUM FOR SCALING MULTI-AGENT REINFORCEMENT LEARNING,cp,Conference Paper,Long Q.,,CMU,Philadelphia,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,24,0,,,,,
2-s2.0-85150664269,,,,ATOMNAS: FINE-GRAINED END-TO-END NEURAL ARCHITECTURE SEARCH,cp,Conference Paper,Mei J.,,Johns Hopkins University,Baltimore,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,41,0,,,,,
2-s2.0-85150664263,,,,LITE TRANSFORMER WITH LONG-SHORT RANGE ATTENTION,cp,Conference Paper,Wu Z.,,Shanghai Jiao Tong University;Massachusetts Institute of Technology,Shanghai;Cambridge,China;United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,50,0,,,,,
2-s2.0-85150664032,,,,HARNESSING STRUCTURES FOR VALUE-BASED PLANNING AND REINFORCEMENT LEARNING,cp,Conference Paper,Yang Y.,,MIT Computer Science &amp; Artificial Intelligence Laboratory,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,5,0,,,,,
2-s2.0-85150663671,,,,WHY GRADIENT CLIPPING ACCELERATES TRAINING: A THEORETICAL JUSTIFICATION FOR ADAPTIVITY,cp,Conference Paper,Zhang J.,,Massachusetts Institute of Technology,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,38,0,,,,,
2-s2.0-85150662991,,,,MODEL-AUGMENTED ACTOR-CRITIC: BACKPROPAGATING THROUGH PATHS,cp,Conference Paper,Anonymous ,,,,,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,12,0,,,,,
2-s2.0-85150662872,,,,SHIFTED AND SQUEEZED 8-BIT FLOATING POINT FORMAT FOR LOW-PRECISION TRAINING OF DEEP NEURAL NETWORKS,cp,Conference Paper,Cambier L.,,Stanford University,Palo Alto,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,7,0,,,,,
2-s2.0-85150662397,,,,UNRESTRICTED ADVERSARIAL EXAMPLES VIA SEMANTIC MANIPULATION,cp,Conference Paper,Bhattad A.,,University of Illinois Urbana-Champaign,Urbana,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,40,0,,,,,
2-s2.0-85150662233,,,,EXPLORING MODEL-BASED PLANNING WITH POLICY NETWORKS,cp,Conference Paper,Wang T.,,University of Toronto;Vector Institute,Toronto;,Canada;,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,14,0,,,,,
2-s2.0-85150662134,,,,CONTINUAL LEARNING WITH HYPERNETWORKS,cp,Conference Paper,von Oswald J.,,Universität Zürich,Zurich,Switzerland,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,64,0,,,,,
2-s2.0-85150662057,,,,SCALOR: GENERATIVE WORLD MODELS WITH SCALABLE OBJECT REPRESENTATIONS,cp,Conference Paper,Jiang J.,,Rutgers University,New Brunswick,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,18,0,,,,,
2-s2.0-85150661709,,,,SIGN-OPT: A QUERY-EFFICIENT HARD-LABEL ADVERSARIAL ATTACK,cp,Conference Paper,Cheng M.,,"University of California, Los Angeles",Los Angeles,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,38,0,,,,,
2-s2.0-85150661151,,,,A FUNCTION SPACE VIEW OF BOUNDED NORM INFINITE WIDTH RELU NETS: THE MULTIVARIATE CASE,cp,Conference Paper,Ongie G.,,"Department of Statistics, The University of Chicago",Chicago,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,20,0,,,,,
2-s2.0-85150661004,,,,REINFORCEMENT LEARNING WITH COMPETITIVE ENSEMBLES OF INFORMATION-CONSTRAINED PRIMITIVES,cp,Conference Paper,Goyal A.,,University of Montreal;MILA,Montreal;,Canada;,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,9,0,,,,,
2-s2.0-85150660772,,,,LEARNING HEURISTICS FOR QUANTIFIED BOOLEAN FORMULAS THROUGH REINFORCEMENT LEARNING,cp,Conference Paper,Lederman G.,,"University of California, Berkeley",Berkeley,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,10,0,,,,,
2-s2.0-85150660742,,,,SADAM: A VARIANT OF ADAM FOR STRONGLY CONVEX FUNCTIONS,cp,Conference Paper,Wang G.,,Nanjing University,Nanjing,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150660587,,,,RÉNYI FAIR INFERENCE,cp,Conference Paper,Baharlouei S.,,USC,,,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,11,0,,,,,
2-s2.0-85150660117,,,,"GENERATIVE MODELS FOR EFFECTIVE ML ON PRIVATE, DECENTRALIZED DATASETS",cp,Conference Paper,Augenstein S.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,22,0,,,,,
2-s2.0-85150660091,,,,HOW TO 0WN NAS IN YOUR SPARE TIME,cp,Conference Paper,Hong S.,,"University of Maryland, College Park",College Park,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,10,0,,,,,
2-s2.0-85150660042,,,,DEEP PROBABILISTIC SUBSAMPLING FOR TASK-ADAPTIVE COMPRESSED SENSING,cp,Conference Paper,Huijben I.A.M.,,Technische Universiteit Eindhoven,Eindhoven,Netherlands,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150659529,,,,SYMPLECTIC RECURRENT NEURAL NETWORKS,cp,Conference Paper,Chen Z.,,Facebook Research;New York University,Menlo Park;New York,United States;United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,34,0,,,,,
2-s2.0-85150659047,,,,LEARNING SPACE PARTITIONS FOR NEAREST NEIGHBOR SEARCH,cp,Conference Paper,Dong Y.,,Microsoft Corporation,Redmond,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,19,0,,,,,
2-s2.0-85150658364,,,,TOWARDS FAST ADAPTATION OF NEURAL ARCHITECTURES WITH META LEARNING,cp,Conference Paper,Lian D.,,ShanghaiTech University,Shanghai,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,25,0,,,,,
2-s2.0-85150658273,,,,UNDERSTANDING ARCHITECTURES LEARNT BY CELL-BASED NEURAL ARCHITECTURE SEARCH,cp,Conference Paper,Shu Y.,,National University of Singapore,Singapore City,Singapore,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,26,0,,,,,
2-s2.0-85150658221,,,,FAST TASK INFERENCE WITH VARIATIONAL INTRINSIC SUCCESSOR FEATURES,cp,Conference Paper,Hansen S.,,DeepMind,,,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,21,0,,,,,
2-s2.0-85150658202,,,,UNDERSTANDING THE LIMITATIONS OF CONDITIONAL GENERATIVE MODELS,cp,Conference Paper,Fetaya E.,,University of Toronto,Toronto,Canada,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,12,0,,,,,
2-s2.0-85150657753,,,,FUNCTIONAL REGULARISATION FOR CONTINUAL LEARNING WITH GAUSSIAN PROCESSES,cp,Conference Paper,Titsias M.K.,,DeepMind,,,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,20,0,,,,,
2-s2.0-85150657501,,,,BAYESIAN META SAMPLING FOR FAST UNCERTAINTY ADAPTION,cp,Conference Paper,Wang Z.,,"University at Buffalo, The State University of New York",Buffalo,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150657488,,,,MEASURING THE RELIABILITY OF REINFORCEMENT LEARNING ALGORITHMS,cp,Conference Paper,Chan S.C.Y.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,18,0,,,,,
2-s2.0-85150656728,,,,LEARNING TO PLAN IN HIGH DIMENSIONS VIA NEURAL EXPLORATION-EXPLOITATION TREES,cp,Conference Paper,Chen B.,,Georgia Institute of Technology,Atlanta,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,15,0,,,,,
2-s2.0-85150656692,,,,TOWARDS HIERARCHICAL IMPORTANCE ATTRIBUTION: EXPLAINING COMPOSITIONAL SEMANTICS FOR NEURAL SEQUENCE MODELS,cp,Conference Paper,Jin X.,,University of Southern California,Los Angeles,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,22,0,,,,,
2-s2.0-85150656322,,,,HILLOC: LOSSLESS IMAGE COMPRESSION WITH HIERARCHICAL LATENT VARIABLE MODELS,cp,Conference Paper,Townsend J.,,UCL Engineering,London,United Kingdom,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,12,0,,,,,
2-s2.0-85150656139,,,,EXTREME TENSORING FOR LOW-MEMORY PRECONDITIONING,cp,Conference Paper,Chen X.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150656013,,,,PROVABLE FILTER PRUNING FOR EFFICIENT NEURAL NETWORKS,cp,Conference Paper,Liebenwein L.,,MIT Computer Science &amp; Artificial Intelligence Laboratory,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,30,0,,,,,
2-s2.0-85150655487,,,,LEARNING NEARLY DECOMPOSABLE VALUE FUNCTIONS VIA COMMUNICATION MINIMIZATION,cp,Conference Paper,Wang T.,,Tsinghua University,Beijing,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,17,0,,,,,
2-s2.0-85150655458,,,,FEATURE INTERACTION INTERPRETABILITY: A CASE FOR EXPLAINING AD-RECOMMENDATION SYSTEMS VIA NEURAL INTERACTION DETECTION,cp,Conference Paper,Tsang M.,,University of Southern California,Los Angeles,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,13,0,,,,,
2-s2.0-85150655423,,,,FAST NEURAL NETWORK ADAPTATION VIA PARAMETER REMAPPING AND ARCHITECTURE SEARCH,cp,Conference Paper,Fang J.,,Huazhong University of Science and Technology,Wuhan,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,16,0,,,,,
2-s2.0-85150655341,,,,word2ket: SPACE-EFFICIENT WORD EMBEDDINGS INSPIRED BY QUANTUM ENTANGLEMENT,cp,Conference Paper,Panahi A.,,Virginia Commonwealth University,Richmond,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,5,0,,,,,
2-s2.0-85150654897,,,,AE-OT: A NEW GENERATIVE MODEL BASED ON EXTENDED SEMI-DISCRETE OPTIMAL TRANSPORT,cp,Conference Paper,An D.,,Stony Brook University,Stony Brook,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,11,0,,,,,
2-s2.0-85150654718,,,,MIXUP INFERENCE: BETTER EXPLOITING MIXUP TO DEFEND ADVERSARIAL ATTACKS,cp,Conference Paper,Pang T.,,Tsinghua University,Beijing,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,16,0,,,,,
2-s2.0-85150654256,,,,DISCOVERING MOTOR PROGRAMS BY RECOMPOSING DEMONSTRATIONS,cp,Conference Paper,Shankar T.,,Facebook Research,Menlo Park,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,9,0,,,,,
2-s2.0-85150653842,,,,LEARNING TO RETRIEVE REASONING PATHS OVER WIKIPEDIA GRAPH FOR QUESTION ANSWERING,cp,Conference Paper,Asai A.,,University of Washington,not-specified,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,102,0,,,,,
2-s2.0-85150653680,,,,MIXED PRECISION DNNS: ALL YOU NEED IS A GOOD PARAMETRIZATION,cp,Conference Paper,Uhlich S.,,Sony Europe B.V.,,Germany,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,30,0,,,,,
2-s2.0-85150653235,,,,DEEP AUDIO PRIORS EMERGE FROM HARMONIC CONVOLUTIONAL NETWORKS,cp,Conference Paper,Zhang Z.,,Massachusetts Institute of Technology,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,6,0,,,,,
2-s2.0-85150653054,,,,UNDERSTANDING THE LIMITATIONS OF VARIATIONAL MUTUAL INFORMATION ESTIMATORS,cp,Conference Paper,Song J.,,Stanford University,Palo Alto,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,33,0,,,,,
2-s2.0-85150653052,,,,THINKING WHILE MOVING: DEEP REINFORCEMENT LEARNING WITH CONCURRENT CONTROL,cp,Conference Paper,Xiao T.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150652945,,,,SCALE-EQUIVARIANT STEERABLE NETWORKS,cp,Conference Paper,Sosnovik I.,,Universiteit van Amsterdam,Amsterdam,Netherlands,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,19,0,,,,,
2-s2.0-85150652939,,,,DEEP GRAPH MATCHING CONSENSUS,cp,Conference Paper,Fey M.,,Technische Universität Dortmund,Dortmund,Germany,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,59,0,,,,,
2-s2.0-85150652899,,,,MONOTONIC MULTIHEAD ATTENTION,cp,Conference Paper,Ma X.,,Johns Hopkins University,Baltimore,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,42,0,,,,,
2-s2.0-85150652889,,,,OPTION DISCOVERY USING DEEP SKILL CHAINING,cp,Conference Paper,Bagaria A.,,Brown University,Providence,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,12,0,,,,,
2-s2.0-85150652389,,,,B-SPLINE CNNS ON LIE GROUPS,cp,Conference Paper,Bekkers E.J.,,Technische Universiteit Eindhoven;Universiteit van Amsterdam,Eindhoven;Amsterdam,Netherlands;Netherlands,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,18,0,,,,,
2-s2.0-85150651940,,,,INTERPRETABLE COMPLEX-VALUED NEURAL NETWORKS FOR PRIVACY PROTECTION,cp,Conference Paper,Xiang L.,,Shanghai Jiao Tong University,Shanghai,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,5,0,,,,,
2-s2.0-85150651741,,,,HARNESSING THE POWER OF INFINITELY WIDE DEEP NETS ON SMALL-DATA TASKS,cp,Conference Paper,Arora S.,,Princeton University,Princeton,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,30,0,,,,,
2-s2.0-85150651312,,,,"UNDERSTANDING ℓ<sup>4</sup>-BASED DICTIONARY LEARNING: INTERPRETATION, STABILITY, AND ROBUSTNESS",cp,Conference Paper,Zhai Y.,,"ByteDance Ltd.;University of California, Berkeley",Beijing;Berkeley,China;United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,4,0,,,,,
2-s2.0-85150651195,,,,LEARNING TO SOLVE THE CREDIT ASSIGNMENT PROBLEM,cp,Conference Paper,Lansdell B.J.,,University of Pennsylvania,Philadelphia,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150651193,,,,DYNAMICAL DISTANCE LEARNING FOR SEMI-SUPERVISED AND UNSUPERVISED SKILL DISCOVERY,cp,Conference Paper,Hartikainen K.,,"University of Oxford;University of California, Berkeley",Oxford;Berkeley,United Kingdom;United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,15,0,,,,,
2-s2.0-85150650716,,,,GEOMETRIC ANALYSIS OF NONCONVEX OPTIMIZATION LANDSCAPES FOR OVERCOMPLETE LEARNING,cp,Conference Paper,Qu Q.,,New York University,New York,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,7,0,,,,,
2-s2.0-85150650434,,,,VIDEOFLOW: A CONDITIONAL FLOW-BASED MODEL FOR STOCHASTIC VIDEO GENERATION,cp,Conference Paper,Kumar M.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,26,0,,,,,
2-s2.0-85150650196,,,,NEURAL TANGENTS: FAST AND EASY INFINITE NEURAL NETWORKS IN PYTHON,cp,Conference Paper,Novak R.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,41,0,,,,,
2-s2.0-85150650189,,,,DECENTRALIZED DEEP LEARNING WITH ARBITRARY COMMUNICATION COMPRESSION,cp,Conference Paper,Koloskova A.,,Ecole Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,37,0,,,,,
2-s2.0-85150649962,,,,GEOM-GCN: GEOMETRIC GRAPH CONVOLUTIONAL NETWORKS,cp,Conference Paper,Pei H.,,Jilin University;Ministry of Education China,Changchun;Beijing,China;China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,173,0,,,,,
2-s2.0-85150649527,,,,INFINITE-HORIZON OFF-POLICY POLICY EVALUATION WITH MULTIPLE BEHAVIOR POLICIES,cp,Conference Paper,Chen X.,,"The Chinese University of Hong Kong, Shenzhen;Shenzhen Institute of Artificial Intelligence and Robotics for Society",Shenzhen;Shenzhen,China;China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150649440,,,,Poly-encoders: architectures and pre-training strategies for fast and accurate multi-sentence scoring,cp,Conference Paper,Humeau S.,,Facebook Research,Menlo Park,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,116,0,,,,,
2-s2.0-85150649413,,,,CLN2INV: LEARNING LOOP INVARIANTS WITH CONTINUOUS LOGIC NETWORKS,cp,Conference Paper,Ryan G.,,Columbia University,New York,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,13,0,,,,,
2-s2.0-85150648965,,,,LEARNING REPRESENTATIONS FOR BINARY-CLASSIFICATION WITHOUT BACKPROPAGATION,cp,Conference Paper,Lechner M.,,Institute of Science and Technology Austria (ISTA),Klosterneuburg,Austria,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150648928,,,,CONTINUAL LEARNING WITH BAYESIAN NEURAL NETWORKS FOR NON-STATIONARY DATA,cp,Conference Paper,Kurle R.,,Volkswagen AG;Technische Universität München,Wolfsburg;Munich,Germany;Germany,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,11,0,,,,,
2-s2.0-85150648049,,,,COMPRESSION BASED BOUND FOR NON-COMPRESSED NETWORK: UNIFIED GENERALIZATION ERROR ANALYSIS OF LARGE COMPRESSIBLE DEEP NEURAL NETWORK,cp,Conference Paper,Suzuki T.,,"University of Tokyo, Graduate School of Information Science and Technology;Riken;Japan Digital Design",Tokyo;Wako;Tokyo,Japan;Japan;Japan,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,11,0,,,,,
2-s2.0-85150647984,,,,RECLOR: A READING COMPREHENSION DATASET REQUIRING LOGICAL REASONING,cp,Conference Paper,Yu W.,,National University of Singapore,Singapore City,Singapore,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,39,0,,,,,
2-s2.0-85150647974,,,,POSTERIOR SAMPLING FOR MULTI-AGENT REINFORCEMENT LEARNING: SOLVING EXTENSIVE GAMES WITH IMPERFECT INFORMATION,cp,Conference Paper,Zhou Y.,,Tsinghua University,Beijing,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,7,0,,,,,
2-s2.0-85150647757,,,,DYNAMICS-AWARE EMBEDDINGS,cp,Conference Paper,Whitney W.F.,,New York University,New York,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,7,0,,,,,
2-s2.0-85150647505,,,,UNDERSTANDING GENERALIZATION IN RECURRENT NEURAL NETWORKS,cp,Conference Paper,Tu Z.,,The University of Sydney,Sydney,Australia,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,9,0,,,,,
2-s2.0-85150647350,,,,ABDUCTIVE COMMONSENSE REASONING,cp,Conference Paper,Bhagavatula C.,,Allen Institute for AI,Seattle,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,103,0,,,,,
2-s2.0-85150647007,,,,THIEVES ON SESAME STREET! MODEL EXTRACTION OF BERT-BASED APIS,cp,Conference Paper,Krishna K.,,University of Massachusetts Amherst,Amherst MA,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,24,0,,,,,
2-s2.0-85150646666,,,,ROBUST AND INTERPRETABLE BLIND IMAGE DENOISING VIA BIAS-FREE CONVOLUTIONAL NEURAL NETWORKS,cp,Conference Paper,Mohan S.,,New York University,New York,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,17,0,,,,,
2-s2.0-85150646454,,,,SKIP CONNECTIONS MATTER: ON THE TRANSFERABILITY OF ADVERSARIAL EXAMPLES GENERATED WITH RESNETS,cp,Conference Paper,Wu D.,,Peng Cheng Laboratory;Tsinghua University,Shenzhen;Beijing,China;China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,81,0,,,,,
2-s2.0-85150646253,,,,AUGMENTING NON-COLLABORATIVE DIALOG SYSTEMS WITH EXPLICIT SEMANTIC AND STRATEGIC DIALOG HISTORY,cp,Conference Paper,Zhou Y.,,Carnegie Mellon University,Pittsburgh,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,3,0,,,,,
2-s2.0-85150645547,,,,DBA: DISTRIBUTED BACKDOOR ATTACKS AGAINST FEDERATED LEARNING,cp,Conference Paper,Xie C.,,Zhejiang University,Hangzhou,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,63,0,,,,,
2-s2.0-85150644810,,,,FROM INFERENCE TO GENERATION: END-TO-END FULLY SELF-SUPERVISED GENERATION OF HUMAN FACE FROM SPEECH,cp,Conference Paper,Choi H.S.,,Seoul National University,Seoul,South Korea,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,12,0,,,,,
