eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150343414,,,,WISH YOU WERE HERE: HINDSIGHT GOAL SELECTION FOR LONG-HORIZON DEXTEROUS MANIPULATION,cp,Conference Paper,Davchev T.,,The University of Edinburgh;DeepMind,Edinburgh;,United Kingdom;,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150343329,,,,NASPY: AUTOMATED EXTRACTION OF AUTOMATED MACHINE LEARNING MODELS,cp,Conference Paper,Lou X.,,Nanyang Technological University,Singapore City,Singapore,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150343273,,,,ANCESTRAL PROTEIN SEQUENCE RECONSTRUCTION USING A TREE-STRUCTURED ORNSTEIN-UHLENBECK VARIATIONAL AUTOENCODER,cp,Conference Paper,Moreta L.S.,,Københavns Universitet,Copenhagen,Denmark,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150343128,,,,AN EXPERIMENTAL DESIGN PERSPECTIVE ON MODEL-BASED REINFORCEMENT LEARNING,cp,Conference Paper,Mehta V.,,The Robotics Institute,Pittsburgh,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150343096,,,,MEASURING THE INTERPRETABILITY OF UNSUPERVISED REPRESENTATIONS VIA QUANTIZED REVERSE PROBING,cp,Conference Paper,Laina I.,,University of Oxford,Oxford,United Kingdom,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150342955,,,,OPEN-VOCABULARY OBJECT DETECTION VIA VISION AND LANGUAGE KNOWLEDGE DISTILLATION,cp,Conference Paper,Gu X.,,Google LLC,Mountain View,United States,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,7,0,,,,,
2-s2.0-85150342876,,,,EXPLOITING CLASS ACTIVATION VALUE FOR PARTIAL-LABEL LEARNING,cp,Conference Paper,Zhang F.,,Shanghai Jiao Tong University;Hong Kong Baptist University,Shanghai;,China;Hong Kong,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,2,0,,,,,
2-s2.0-85150342808,,,,SOURCE-FREE ADAPTATION TO MEASUREMENT SHIFT VIA BOTTOM-UP FEATURE RESTORATION,cp,Conference Paper,Eastwood C.,,Max Planck Institute for Intelligent Systems;The University of Edinburgh,Tubingen;Edinburgh,Germany;United Kingdom,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,1,0,,,,,
2-s2.0-85150342753,,,,GENERATE TRIGGERS IN NEURAL RELATION EXTRACTION,cp,Conference Paper,Anonymous ,,,,,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
2-s2.0-85150342519,,,,THE EVOLUTION OF UNCERTAINTY OF LEARNING IN GAMES,cp,Conference Paper,Cheung Y.K.,,"Royal Holloway, University of London",Egham,United Kingdom,,,,,2022-01-01,2022,ICLR 2022 - 10th International Conference on Learning Representations,,21101141642,,Conference Proceeding,,,,,,,0,0,,,,,
