Venue Name
"IEEE AFRICON: Science, Technology and Innovation for Africa, AFRICON"
Clinical Imaging
Frontiers in Public Health
"Proceedings of the International Conference on Advanced Systems and Emergent Technologies, IC_ASET"
American Journal of Roentgenology
"Proceedings -  th International Conference on Computer Graphics, Imaging and Visualization, CGiV"
"International Conference on Control, Decision and Information Technologies, CoDIT"
"IEEE nd International Conference on Electronics, Control, Optimization and Computer Science, ICECOCS"
"Middle East Conference on Biomedical Engineering, MECBME"
Evolutionary Intelligence
International Journal of Computer Information Systems and Industrial Management Applications
Solar Energy
Proceedings of the Joint Conference on Information Sciences
Healthcare (Switzerland)
ZooKeys
Entropy
IAENG International Journal of Computer Science
Proceedings - PAIS : International Conference on Pattern Analysis and Intelligent Systems
"International Journal of Wavelets, Multiresolution and Information Processing"
ICCES' -  International Conference on Computer Engineering and Systems
RSC Advances
"IEEE International Conference on Adaptive Science and Technology, ICAST"
Journal of Terramechanics
"International Symposium on Signal, Image, Video and Communications, ISIVC"
Remote Sensing Letters
"Studies in Systems, Decision and Control"
Journal of Mathematical Imaging and Vision
"International Symposium on Image and Signal Processing and Analysis, ISPA"
"International Conference on Advanced Electrical Engineering, ICAEE"
Medecine Nucleaire
"Biomedical Engineering - Applications, Basis and Communications"
International Journal of Biomedical Imaging
"International Conference on Computer Engineering and Systems, ICCES'"
"st International Conference on Multidisciplinary Engineering and Applied Science, ICMEAS"
"st International Workshops on Image Processing Theory, Tools and Applications, IPTA"
BioMedical Engineering Online
Advances in Materials Science and Engineering
International Journal of Innovative Technology and Exploring Engineering
Optical Engineering
Cluster Computing
Computers and Geosciences
Applied Mathematics and Computation
"nd International Conference on Advanced Electrical Engineering, ICAEE"
"International Symposium on Advanced Electrical and Communication Technologies, ISAECT"
Canadian Conference on Electrical and Computer Engineering
Optics and Laser Technology

Digital Signal Processing: A Review Journal
Translational Vision Science and Technology
Journal of X-Ray Science and Technology
Earth Science Informatics
Scientific World Journal
Applied Thermal Engineering
Applied Mathematical Modelling
Magnetic Resonance Imaging
Machine Vision and Applications
Nuclear Medicine Communications
Knowledge-Based Systems
South African Journal of Science
Frontiers in Artificial Intelligence
GeoJournal
Microprocessors and Microsystems
"IEEE Intelligent Vehicles Symposium, Proceedings"
"Proceedings of  th IEEE International Conference on Computer Engineering and Systems, ICCES"
"Proceedings -  IEEE International Conference of Moroccan Geomatics, MORGEO"
Journal of Magnetic Resonance Imaging
"International Conference on Electrical Engineering and Software Applications, ICEESA"
International Journal of Biometrics
"th International Conference on Hybrid Intelligent Systems, HIS"
"International Journal of Innovative Computing, Information and Control"
Journal of Experimental and Theoretical Artificial Intelligence
IS and T International Symposium on Electronic Imaging Science and Technology
Image Analysis and Stereology
Informatica (Slovenia)
Journal of Electronic Commerce in Organizations
"Proceedings of the  International Conference on Applied Smart Systems, ICASS"
Journal of Computer Assisted Tomography
International Journal of Engineering and Advanced Technology
"IEEE rd International Conference on Image Processing, Applications and Systems, IPAS"
"Journal of Circuits, Systems and Computers"
Journal of Materials Science: Materials in Electronics
International Journal of Advanced Intelligence Paradigms
International Journal of Machine Learning and Cybernetics
International Journal of Applied Engineering Research
Polymers
International Journal of Cognitive Informatics and Natural Intelligence

"Proceedings - The  International Conference on Computer Engineering and Systems, ICCES'"
"IEEE International Ultrasonics Symposium, IUS"
"IEEE nd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering, MI-STA  - Proceeding"
Acta Radiologica
International Journal of Multimedia Information Retrieval
"Proceedings of:  Sudan Conference on Computer Science and Information Technology, SCCSIT"
"IEEE Mediterranean and Middle-East Geoscience and Remote Sensing Symposium, MGARSS  - Proceedings"
"International Conference on Advanced Systems and Electric Technologies, IC_ASET"
Journal of Medical Imaging and Radiation Sciences
"Journal of Biomimetics, Biomaterials and Biomedical Engineering"
International Journal of Communication Systems
Biomedical Optics Express
International Journal of Computer Assisted Radiology and Surgery
Journal of Sensors
"rd International Conference on Signals, Circuits and Systems, SCS"
Computer Journal
Complexity
Cogent Engineering
"International Symposium on Control, Communications and Signal Processing, ISCCSP"
Microscopy Research and Technique
British Journal of Radiology
"th International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems, icABCD  - Proceedings"
International Journal of Tomography and Simulation
Computers and Mathematics with Applications
MATEC Web of Conferences
Measurement Science and Technology
IEEE Transactions on Neural Networks and Learning Systems
Applied Physics A: Materials Science and Processing
Journal of Telemedicine and Telecare
Journal of Physics and Chemistry of Solids
"Proceedings of the International Conference on Artificial Intelligence for Cyber Security Systems and Privacy, AI-CSP"
Journal of Nanomaterials
IEEE Transactions on Information Forensics and Security
Journal of Medical Systems
"International Congress of Advanced Technology and Engineering, ICOTEN"
Journal of Medical Engineering and Technology
Contrast Media and Molecular Imaging
IETE Journal of Research
Forests
American Journal of Neuroradiology
Automatic Control and Computer Sciences
EUVIP  - th European Workshop on Visual Information Processing
"EEA - Electrotehnica, Electronica, Automatica"
Malaria Journal
Journal of Big Data
Current Medical Imaging
International Journal of Radiation Oncology Biology Physics
International Journal of Computational Science and Engineering
"Proceedings of  IEEE World Conference on Complex Systems, WCCS"
"Proceedings of the South African Symposium on Communications and Signal Processing, COMSIG"
Proceedings - Applied Imagery Pattern Recognition Workshop
WSEAS Transactions on Computers
"th International Conference on Electrical Engineering - Boumerdes, ICEE-B"
"th International Conference on Informatics and Systems, INFOS"
Proceedings - ICCES :  th International Conference on Computer Engineering and Systems
Ore Geology Reviews
Russian Journal of Nondestructive Testing
Tydskrif vir Geesteswetenskappe

"IEEE International Conference on Systems, Man, and Cybernetics, SMC  - Conference Proceedings"
"Proceedings of  rd International Conference on Information Fusion, FUSION"
"Proceedings of the  Pattern Recognition Association of South Africa and Robotics and Mechatronics International Conference, PRASA-RobMech"
Revue d'Intelligence Artificielle
Ultrasound in Medicine and Biology
"th International Symposium on Signal, Image, Video and Communications, ISIVC  - Conference Proceedings"
"Proceedings -  International Conference on Electrical, Electronic and Computer Engineering, ICEEC'"
"Smart Sensors, Measurement and Instrumentation"
Skin Research and Technology
"icABCD  - nd International Conference on Advances in Big Data, Computing and Data Communication Systems"
"Proceedings of the  th International Conference on Intelligent Systems Design and Applications, ISDA'"

"Proceedings of  SAI Computing Conference, SAI"
"th International Conference on Signal Image Technology and Internet Based Systems, SITIS r"
"th International Symposium on Signal Processing and its Applications, ISSPA , Proceedings"

International Journal of Image and Data Fusion
International Journal of Hydrogen Energy
AEU - International Journal of Electronics and Communications
Journal of Electrical and Computer Engineering
Echocardiography
International Journal of Advanced Science and Technology
International Journal of Advanced Manufacturing Technology
Journal of Medical and Biological Engineering
International Journal of Medical Engineering and Informatics
Proceedings - STA :  th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering
Turkish Journal of Electrical Engineering and Computer Sciences
Journal of Information Technology Management
"Proceedings -  International Conference on Information Systems and Advanced Technologies, ICISAT"


Iranian Journal of Medical Physics
International Journal of Soft Computing
Proceedings - IEEE Symposium on Computers and Communications
Proceedings - IEEE International Conference on Multimedia and Expo
Ultrasonics
"th International Conference on Computing and Informatics, ICCI"
"Proceedings -  International Conference on Intelligent Systems and Advanced Computing Sciences, ISACS"
International Review of Aerospace Engineering
Journal of Information Security and Applications
Intelligent Data Analysis
"International Conference on Systems, Signals, and Image Processing"
Security and Communication Networks
"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC"
European Radiology
"rd International Conference on Image Processing Theory, Tools and Applications, IPTA"
Renewable Energy
Applied Computational Intelligence and Soft Computing
Atmospheric Research
Experimental Thermal and Fluid Science
Science of the Total Environment
Separation and Purification Technology
Applied Surface Science
"Astrophysical Journal, Supplement Series"
Astrophysical Journal Letters
Forensic Science International
Frontiers in Oncology
South African Journal of Botany
Asian Journal of Applied Sciences
Fuel
Future Generation Computer Systems
IEEE International Conference on Electro Information Technology
IEEE International Conference on Fuzzy Systems
European Journal of Nuclear Medicine
Mobile Information Systems
Biosystems Engineering
"Proceedings of the  International Conference on Mathematics and Information Technology, ICMIT"
"Advances in Predictive, Preventive and Personalised Medicine"
BMC Bioinformatics
Agriculture (Switzerland)
ISSPIT  -  IEEE International Symposium on Signal Processing and Information Technology
ISPRS International Journal of Geo-Information
Agronomy
Proceedings of the ACM Symposium on Applied Computing
Proceedings of the ASME Design Engineering Technical Conference
Algorithms
"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH"
"th International Multi-Conference on Systems, Signals and Devices, SSD'"
Proceedings of the International Conference on Computer Science and its Applications
Proceedings of the International Conference on Industrial Engineering and Operations Management
"Proceedings, ICCES' -  International Conference on Computer Engineering and Systems"
Journal of Modern Optics
Artificial Life and Robotics
"Workshop on Hyperspectral Image and Signal Processing, Evolution in Remote Sensing"
"icABCD  - th International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems, Proceedings"
"rd International Conference on Intelligent Computing in Data Sciences, ICDS"
"Medical Imaging: Concepts, Methodologies, Tools, and Applications"
Journal of Spatial Science
Physical and Engineering Sciences in Medicine
Network Modeling Analysis in Health Informatics and Bioinformatics
Land Use Policy
NeuroImage: Clinical
"Conference on Information Communications Technology and Society, ICTAS"
"th International Conference on Hybrid Intelligent Systems, HIS"
Journal of the Southern African Institute of Mining and Metallurgy
NeuroImage
Computacion y Sistemas
Optics and Lasers in Engineering
"nd International Conference on Computer and Information Sciences, ICCIS"
NDT and E International
